net,length_um
_038840_,39.36µm
net62749,39.36µm
_012025_,39.35µm
net168,39.35µm
_013406_,39.34µm
_013417_,39.34µm
_022243_,39.34µm
conv_accelerator_inst.acc\[61\],39.34µm
_012444_,39.335µm
_018643_,39.32µm
_031721_,39.32µm
_032480_,39.32µm
conv_accelerator_inst.fc_acc\[20\],39.32µm
qspi_master_inst.data_mode\[0\],39.32µm
net2720,39.32µm
_042425_,39.3µm
_043820_,39.3µm
cpu_inst.CORE.core_i.cs_registers_i.mhpmcounter_q\[240\],39.3µm
net4106,39.3µm
net7503,39.3µm
net8131,39.3µm
net10359,39.3µm
net28426,39.3µm
_012426_,39.295µm
cpu_inst.CORE.core_i.cs_registers_i.mhpmcounter_q\[37\],39.29µm
_010756_,39.28µm
_011539_,39.28µm
_023737_,39.28µm
_043983_,39.28µm
_059236_,39.28µm
cpu_inst.CORE.core_i.alu_operand_b_ex\[8\],39.28µm
net25385,39.28µm
_011862_,39.275µm
_059307_,39.26µm
net120,39.26µm
_019443_,39.25µm
_013007_,39.24µm
_013549_,39.24µm
_023908_,39.24µm
_030378_,39.24µm
net22610,39.24µm
_011502_,39.22µm
_012182_,39.22µm
_022918_,39.22µm
net16365,39.22µm
_013121_,39.2µm
_018708_,39.2µm
_019814_,39.2µm
_042470_,39.2µm
_056481_,39.2µm
net17892,39.2µm
net19392,39.185µm
_049662_,39.18µm
_053634_,39.18µm
net13170,39.18µm
net61101,39.18µm
_019502_,39.16µm
_026864_,39.16µm
_052644_,39.16µm
timer_inst.TIM_CNT\[31\],39.16µm
_026423_,39.14µm
_027840_,39.14µm
_047269_,39.14µm
_049711_,39.14µm
net9728,39.14µm
_026868_,39.12µm
_043351_,39.12µm
_043369_,39.12µm
_045336_,39.12µm
_055596_,39.12µm
conv_accelerator_inst.ram_addr\[13\],39.12µm
timer_inst.TIM_CNT\[24\],39.12µm
net10256,39.12µm
net11453,39.12µm
net12352,39.12µm
_011068_,39.1µm
_020217_,39.1µm
_023894_,39.1µm
_043609_,39.1µm
_036890_,39.08µm
net62700,39.08µm
_012231_,39.06µm
_023203_,39.06µm
_036888_,39.06µm
_041288_,39.06µm
_058836_,39.06µm
conv_accelerator_inst.wb_prod\[25\],39.06µm
net7529,39.06µm
_010208_,39.05µm
_030675_,39.05µm
_031983_,39.05µm
_043271_,39.05µm
_010049_,39.04µm
_011063_,39.04µm
_026221_,39.04µm
_035925_,39.04µm
net7590,39.04µm
net13279,39.04µm
net19886,39.04µm
_055798_,39.03µm
_023583_,39.02µm
_038598_,39.02µm
_041083_,39.02µm
_043147_,39.02µm
_044775_,39.02µm
_046316_,39.02µm
_049444_,39.02µm
net3130,39.02µm
net61337,39.02µm
_024325_,39.01µm
_010888_,39µm
_044527_,39µm
_059303_,39µm
_000578_,38.98µm
_010103_,38.98µm
_032706_,38.98µm
_039415_,38.98µm
_050740_,38.98µm
_018044_,38.975µm
_010409_,38.96µm
_014778_,38.96µm
net12944,38.96µm
_041884_,38.95µm
_037525_,38.94µm
_043092_,38.94µm
net2251,38.94µm
net62222,38.93µm
_010624_,38.92µm
_029513_,38.92µm
_019324_,38.9µm
_030680_,38.9µm
_032579_,38.9µm
_041007_,38.9µm
_045377_,38.9µm
net9970,38.9µm
_026612_,38.88µm
_026714_,38.88µm
_028835_,38.88µm
_056078_,38.88µm
net3703,38.88µm
net7451,38.88µm
_022297_,38.86µm
_022375_,38.86µm
_031821_,38.86µm
uart_yz_inst.tx_tick_cnt\[12\],38.86µm
net29450,38.86µm
net64073,38.86µm
net65469,38.86µm
_027411_,38.845µm
net7,38.84µm
_046822_,38.84µm
_024779_,38.83µm
_025914_,38.82µm
_029671_,38.82µm
_037077_,38.82µm
yz_bram_ctrl_inst.yz_ram.u_mem.u_mem.g_2k\[0\].u_cell.rdata\[14\],38.82µm
net14379,38.82µm
net61773,38.82µm
net62403,38.82µm
_023953_,38.8µm
_046305_,38.8µm
net2719,38.8µm
_025762_,38.78µm
_028816_,38.78µm
_032676_,38.78µm
_049639_,38.78µm
net9703,38.78µm
net12109,38.78µm
net64389,38.78µm
_021510_,38.765µm
_032087_,38.76µm
_039168_,38.76µm
_047918_,38.76µm
_009561_,38.75µm
_012440_,38.74µm
_017296_,38.74µm
_047665_,38.74µm
_048160_,38.74µm
net13952,38.74µm
net27767,38.74µm
_032057_,38.735µm
_011641_,38.72µm
net62147,38.72µm
_018456_,38.7µm
_027056_,38.7µm
_044438_,38.7µm
_045755_,38.7µm
net10058,38.7µm
_043706_,38.69µm
_035790_,38.685µm
_051608_,38.68µm
_056182_,38.68µm
net15385,38.68µm
net62940,38.68µm
_024992_,38.66µm
conv_accelerator_inst.fc_scores\[3\]\[11\],38.66µm
net2125,38.66µm
net4608,38.66µm
net4957,38.66µm
net61718,38.66µm
_009390_,38.64µm
_046192_,38.64µm
conv_accelerator_inst.fc_acc\[54\],38.64µm
cpu_inst.CORE.core_i.cs_registers_i.mepc_o\[11\],38.64µm
net2103,38.64µm
_011000_,38.62µm
_011054_,38.62µm
_016519_,38.62µm
_048779_,38.62µm
boot_dma_data\[28\],38.62µm
net153,38.62µm
net12668,38.62µm
net49857,38.62µm
_009883_,38.61µm
_026654_,38.6µm
_036191_,38.6µm
_042562_,38.6µm
_044798_,38.6µm
_059283_,38.6µm
_059375_,38.6µm
timer_inst.TIM_PRE_m\[14\],38.6µm
net7397,38.6µm
net10931,38.6µm
net16260,38.6µm
net27525,38.6µm
_020493_,38.59µm
_013667_,38.58µm
_019114_,38.58µm
_023154_,38.58µm
net4797,38.58µm
net10142,38.58µm
net10170,38.58µm
net64492,38.58µm
instr_bram_ctrl_inst.instr_ram.u_mem.g_2k\[3\].u_cell.rdata\[24\],38.57µm
net24743,38.57µm
_056875_,38.565µm
_016450_,38.56µm
_025319_,38.56µm
_040189_,38.56µm
_048608_,38.55µm
_020624_,38.54µm
net25248,38.54µm
net30742,38.54µm
net64549,38.54µm
net66141,38.54µm
_022591_,38.525µm
_010214_,38.52µm
_011132_,38.52µm
_022286_,38.52µm
_023699_,38.52µm
_029345_,38.52µm
_030914_,38.52µm
_042231_,38.52µm
_048772_,38.52µm
_053889_,38.52µm
net5387,38.52µm
net9702,38.52µm
net29944,38.52µm
_017004_,38.5µm
_018181_,38.5µm
_022910_,38.5µm
_040709_,38.5µm
_047268_,38.5µm
_051618_,38.5µm
_052481_,38.5µm
net7684,38.5µm
net61781,38.5µm
net64803,38.5µm
_010265_,38.48µm
_018427_,38.48µm
_023124_,38.48µm
_045955_,38.48µm
_047952_,38.48µm
_056891_,38.48µm
conv_accelerator_inst.wb_bytes\[54\],38.48µm
net29706,38.48µm
net64944,38.48µm
_026517_,38.46µm
net64408,38.46µm
net24698,38.45µm
_017663_,38.44µm
_024357_,38.44µm
_035801_,38.44µm
_038809_,38.44µm
_058504_,38.44µm
net19527,38.44µm
net65164,38.44µm
_023564_,38.425µm
net7775,38.42µm
_044690_,38.4µm
_055900_,38.4µm
net439,38.4µm
net2752,38.4µm
net64761,38.39µm
_011527_,38.38µm
_021953_,38.38µm
_022754_,38.38µm
_028254_,38.38µm
_030492_,38.365µm
_017639_,38.36µm
_020138_,38.36µm
_054185_,38.36µm
clknet_leaf_119_clk_i_regs,38.36µm
net64538,38.36µm
_039741_,38.35µm
_024196_,38.345µm
_030388_,38.34µm
_041557_,38.34µm
_047583_,38.34µm
_009296_,38.32µm
_017935_,38.32µm
_018296_,38.32µm
_020902_,38.32µm
_026749_,38.32µm
_049163_,38.32µm
_055620_,38.32µm
_038941_,38.3µm
cpu_inst.CORE.core_i.id_stage_i.register_file_i.mem\[420\],38.3µm
_013997_,38.28µm
_029888_,38.28µm
_048786_,38.28µm
net2607,38.28µm
net16078,38.28µm
_011266_,38.26µm
_013622_,38.26µm
_017503_,38.26µm
qspi_master_inst.QSPI_CCR\[5\],38.26µm
net65984,38.26µm
_040361_,38.24µm
_041107_,38.24µm
net10009,38.24µm
_034459_,38.22µm
_044712_,38.22µm
_047988_,38.22µm
qspi_master_inst.fifo_rx_cnt\[5\],38.22µm
net61679,38.22µm
_022248_,38.215µm
_044070_,38.2µm
net7997,38.2µm
net10838,38.2µm
net12365,38.2µm
net60049,38.2µm
net61326,38.2µm
_013286_,38.18µm
net55720,38.18µm
instr_bram_ctrl_inst.instr_ram.u_mem.g_2k\[0\].u_cell.rdata\[0\],38.17µm
_000079_,38.16µm
_019500_,38.16µm
_027543_,38.16µm
_029653_,38.16µm
_048595_,38.16µm
cpu_inst.CORE.core_i.id_stage_i.register_file_i.mem\[959\],38.16µm
net62216,38.16µm
_010752_,38.14µm
_059637_,38.14µm
net6186,38.14µm
net19613,38.14µm
conv_accelerator_inst.fc_scores\[2\]\[10\],38.135µm
_009148_,38.12µm
_033489_,38.12µm
_034587_,38.12µm
_038505_,38.12µm
_043468_,38.12µm
_055797_,38.12µm
conv_accelerator_inst.fc_acc\[18\],38.12µm
net5236,38.12µm
net27274,38.12µm
net65550,38.115µm
_044541_,38.11µm
_032178_,38.1µm
_039082_,38.1µm
_039297_,38.1µm
_046205_,38.1µm
_056495_,38.1µm
_020145_,38.08µm
_024766_,38.08µm
conv_accelerator_inst.wb_prod\[153\],38.08µm
net29688,38.08µm
_009889_,38.07µm
_018525_,38.065µm
_043111_,38.06µm
_047982_,38.06µm
_059816_,38.06µm
cpu_inst.CORE.core_i.cs_registers_i.mhpmcounter_q\[60\],38.06µm
net11398,38.06µm
_021378_,38.04µm
_026065_,38.04µm
_039546_,38.04µm
_044487_,38.04µm
_052469_,38.04µm
net19615,38.04µm
_030298_,38.035µm
_029679_,38.02µm
_046149_,38.02µm
conv_accelerator_inst.fc_acc\[22\],38.02µm
timer_inst.TIM_EVN\[9\],38.02µm
_033640_,38.01µm
net59786,38.01µm
_029803_,38µm
_042870_,38µm
_058196_,38µm
conv_accelerator_inst.acc\[11\],38µm
net29746,38µm
uart_yz_inst.rx_tick_cnt\[31\],37.995µm
net12367,37.99µm
_011171_,37.98µm
_019551_,37.98µm
_035171_,37.98µm
net4691,37.98µm
net15845,37.98µm
net61398,37.98µm
_022124_,37.96µm
_026658_,37.96µm
_048897_,37.96µm
_012394_,37.955µm
instr_bram_ctrl_inst.instr_ram.u_mem.g_2k\[1\].u_cell.rdata\[30\],37.95µm
_013928_,37.94µm
_028044_,37.94µm
_033807_,37.94µm
_035841_,37.94µm
_056489_,37.94µm
cpu_inst.CORE.core_i.id_stage_i.register_file_i.mem\[899\],37.94µm
_051577_,37.93µm
_011185_,37.92µm
_019250_,37.92µm
_028798_,37.92µm
_035705_,37.92µm
_059309_,37.92µm
yz_bram_ctrl_inst.yz_ram.u_mem.u_mem.g_2k\[3\].u_cell.rdata\[19\],37.92µm
net11452,37.92µm
net61365,37.92µm
_012184_,37.9µm
_025165_,37.9µm
_034827_,37.9µm
_052627_,37.9µm
_000029_,37.88µm
_012954_,37.88µm
net65143,37.88µm
_017891_,37.87µm
_023417_,37.86µm
_032048_,37.86µm
_020771_,37.855µm
_034480_,37.84µm
_046913_,37.84µm
cpu_inst.CORE.core_i.load_store_unit_i.rdata_offset_q\[0\],37.83µm
net29971,37.83µm
_012164_,37.82µm
_027404_,37.82µm
_027680_,37.82µm
conv_accelerator_inst.fc_acc\[80\],37.82µm
timer_inst.TIM_ARE\[30\],37.82µm
_022786_,37.81µm
_029074_,37.81µm
_030785_,37.8µm
_058963_,37.8µm
_059478_,37.8µm
cpu_inst.CORE.core_i.load_store_unit_i.rdata_q\[17\],37.8µm
data_bram_ctrl_inst.data_ram.u_mem.g_2k\[1\].u_cell.rdata\[31\],37.79µm
_010269_,37.78µm
_025385_,37.78µm
_028206_,37.78µm
_039254_,37.78µm
_057134_,37.78µm
net19410,37.78µm
net27310,37.78µm
net29453,37.78µm
_027914_,37.76µm
_028260_,37.76µm
UART_YZ_rdata\[0\],37.74µm
_019417_,37.74µm
_032361_,37.74µm
cpu_inst.CORE.core_i.load_store_unit_i.rdata_q\[14\],37.74µm
qspi_master_inst.fifo_rx_cnt\[3\],37.74µm
yz_bram_ctrl_inst.yz_ram.u_mem.u_mem.g_1k.u_cell.rdata\[20\],37.74µm
net2269,37.74µm
net11774,37.74µm
net14993,37.74µm
_020144_,37.72µm
_026284_,37.72µm
net11111,37.72µm
_029492_,37.7µm
yz_bram_ctrl_inst.yz_ram.u_mem.u_mem.g_2k\[3\].u_cell.rdata\[18\],37.7µm
_009262_,37.69µm
net539,37.68µm
net6915,37.68µm
net24212,37.68µm
net24387,37.68µm
net60497,37.68µm
_000229_,37.66µm
_051698_,37.66µm
timer_inst.TIM_EVN\[10\],37.66µm
net2944,37.66µm
net4410,37.66µm
net16782,37.66µm
net18305,37.66µm
net49895,37.66µm
cpu_inst.CORE.core_i.cs_registers_i.mhpmcounter_q\[133\],37.655µm
_044495_,37.65µm
_024480_,37.64µm
_026705_,37.64µm
_041192_,37.64µm
axi_boot_rom_interconnect_rdata\[29\],37.64µm
yz_csr_wrapper_inst.result_reg\[0\],37.64µm
net836,37.64µm
net5135,37.64µm
net66136,37.64µm
net61486,37.63µm
_019275_,37.62µm
_029339_,37.62µm
_031503_,37.62µm
_045634_,37.62µm
_023732_,37.6µm
_039401_,37.6µm
_044415_,37.6µm
_052584_,37.6µm
_056300_,37.6µm
_057683_,37.6µm
net4243,37.6µm
net7889,37.6µm
_042566_,37.58µm
net29712,37.58µm
net59487,37.58µm
_013261_,37.56µm
_034428_,37.56µm
_046940_,37.56µm
_047718_,37.56µm
net12192,37.56µm
net25614,37.56µm
_026870_,37.54µm
_014171_,37.52µm
_014373_,37.52µm
_026137_,37.52µm
_046863_,37.52µm
_047926_,37.52µm
_053629_,37.52µm
_055914_,37.52µm
_057611_,37.52µm
net7149,37.52µm
_010099_,37.5µm
_013726_,37.5µm
_043218_,37.5µm
cpu_inst.CORE.core_i.id_stage_i.register_file_i.mem\[958\],37.5µm
net24889,37.5µm
_052949_,37.485µm
UART_GU_rdata\[24\],37.48µm
_020504_,37.48µm
_047101_,37.48µm
_052198_,37.48µm
net64958,37.475µm
_018068_,37.47µm
_014483_,37.46µm
_024370_,37.46µm
net8193,37.46µm
net11161,37.46µm
net11171,37.46µm
net11773,37.46µm
net24950,37.46µm
_048550_,37.455µm
_056007_,37.45µm
_021740_,37.445µm
_021645_,37.44µm
_022430_,37.44µm
_044182_,37.44µm
_044223_,37.44µm
_059827_,37.44µm
net14911,37.44µm
net25776,37.44µm
_013299_,37.42µm
_016859_,37.42µm
_043586_,37.42µm
_052449_,37.42µm
cpu_inst.CORE.core_i.cs_registers_i.mhpmcounter_q\[253\],37.42µm
net63831,37.42µm
_009918_,37.4µm
_011937_,37.4µm
_026806_,37.4µm
_031722_,37.4µm
_036992_,37.4µm
_038320_,37.4µm
_040747_,37.4µm
i2c_master_inst.current_state\[6\],37.4µm
net19555,37.4µm
_011583_,37.38µm
_012593_,37.38µm
_030488_,37.38µm
_032616_,37.38µm
_040644_,37.38µm
_009337_,37.37µm
net63502,37.37µm
_017570_,37.36µm
_026365_,37.36µm
_042679_,37.36µm
_046664_,37.36µm
_049367_,37.36µm
_050976_,37.36µm
_059286_,37.36µm
conv_accelerator_inst.wb_base2\[4\],37.36µm
net5958,37.36µm
_011510_,37.34µm
_022572_,37.34µm
_022812_,37.34µm
net29388,37.34µm
_011860_,37.32µm
_012644_,37.32µm
_017488_,37.32µm
_042717_,37.32µm
_058877_,37.32µm
_014658_,37.305µm
cpu_inst.CORE.core_i.cs_registers_i.mhpmcounter_q\[137\],37.305µm
net60990,37.305µm
_029944_,37.3µm
_039434_,37.3µm
yz_bram_ctrl_inst.yz_ram.u_mem.u_mem.g_2k\[0\].u_cell.rdata\[7\],37.3µm
net10439,37.3µm
net11469,37.3µm
_028353_,37.29µm
_038236_,37.28µm
_042052_,37.28µm
_044980_,37.28µm
cpu_inst.CORE.core_i.cs_registers_i.pc_if_i\[4\],37.28µm
_027311_,37.26µm
_031309_,37.26µm
_056346_,37.26µm
net63469,37.26µm
_025976_,37.24µm
_027508_,37.24µm
_030639_,37.24µm
_035540_,37.24µm
net3897,37.24µm
net4987,37.24µm
net7941,37.24µm
net61615,37.24µm
_013018_,37.22µm
_014452_,37.22µm
_025754_,37.22µm
_029864_,37.22µm
_040045_,37.22µm
_043652_,37.22µm
net5109,37.22µm
net10153,37.22µm
net11167,37.22µm
_020543_,37.2µm
_033862_,37.2µm
_035507_,37.2µm
net5154,37.2µm
net61145,37.2µm
net61710,37.2µm
_009917_,37.18µm
_013804_,37.18µm
_017771_,37.18µm
_024467_,37.18µm
_046646_,37.18µm
cpu_inst.CORE.core_i.cs_registers_i.dcsr_q\[0\],37.18µm
cpu_inst.CORE.core_i.ex_stage_i.regfile_we_lsu,37.18µm
_025602_,37.17µm
_000491_,37.16µm
_032596_,37.16µm
_043776_,37.16µm
_049721_,37.16µm
conv_accelerator_inst.wb_prod\[314\],37.16µm
net384,37.16µm
net64262,37.16µm
_029264_,37.15µm
_020414_,37.14µm
_026274_,37.14µm
_039803_,37.14µm
net7177,37.14µm
net12538,37.14µm
net60839,37.14µm
net65508,37.14µm
_009765_,37.12µm
_009859_,37.12µm
_055865_,37.12µm
I2C_rdata\[23\],37.1µm
_025828_,37.1µm
_036570_,37.1µm
_043549_,37.1µm
_032101_,37.08µm
_054689_,37.08µm
conv_accelerator_inst.fc_acc\[97\],37.08µm
net6242,37.08µm
net29695,37.08µm
net66424,37.08µm
_009892_,37.07µm
_020037_,37.06µm
_021581_,37.06µm
_032527_,37.06µm
_049334_,37.06µm
_051026_,37.06µm
_052978_,37.06µm
_056898_,37.06µm
_057580_,37.06µm
net7956,37.06µm
clknet_leaf_96_clk_i_regs,37.06µm
_059295_,37.05µm
_048335_,37.04µm
net1995,37.04µm
net49948,37.04µm
_038396_,37.02µm
_051006_,37.02µm
_054108_,37.02µm
_056323_,37.02µm
_058805_,37.02µm
clknet_leaf_441_clk_i_regs,37.02µm
_014513_,37µm
_041712_,37µm
_049558_,37µm
_051340_,37µm
_054020_,37µm
uart_yz_inst.tx_state\[1\],37µm
net10772,37µm
net61898,36.995µm
_010645_,36.98µm
_024251_,36.98µm
_029561_,36.98µm
_030464_,36.98µm
_049195_,36.98µm
_012646_,36.97µm
_023172_,36.96µm
_026136_,36.96µm
net66439,36.96µm
_028061_,36.94µm
_037821_,36.94µm
_046007_,36.94µm
cpu_inst.CORE.core_i.id_stage_i.register_file_i.mem\[529\],36.94µm
_013158_,36.92µm
_039306_,36.92µm
_043107_,36.92µm
_059346_,36.92µm
_014613_,36.9µm
_043194_,36.9µm
yz_bram_ctrl_inst.yz_ram.u_mem.u_mem.g_2k\[3\].u_cell.rdata\[12\],36.9µm
net1032,36.9µm
net3854,36.9µm
net11504,36.9µm
_027703_,36.88µm
_027777_,36.88µm
_053551_,36.88µm
net30623,36.88µm
_010333_,36.86µm
_018789_,36.86µm
_020178_,36.86µm
_038718_,36.86µm
net3738,36.86µm
net16553,36.86µm
net62388,36.86µm
cpu_inst.CORE.core_i.cs_registers_i.mhpmcounter_q\[7\],36.845µm
_024525_,36.84µm
_039732_,36.84µm
_052074_,36.84µm
net4347,36.84µm
net4624,36.84µm
net4763,36.84µm
net18201,36.835µm
_021286_,36.83µm
_029219_,36.82µm
cpu_inst.CORE.core_i.load_store_unit_i.rdata_offset_q\[1\],36.82µm
_011566_,36.81µm
_012667_,36.8µm
_028473_,36.8µm
_031973_,36.8µm
_045334_,36.8µm
_012514_,36.785µm
_011866_,36.78µm
_013567_,36.78µm
_018169_,36.78µm
_018324_,36.78µm
_033801_,36.78µm
_038258_,36.78µm
_051880_,36.78µm
_052080_,36.78µm
net2233,36.78µm
_012502_,36.77µm
_022825_,36.76µm
_025437_,36.76µm
_046291_,36.76µm
uart_gu_inst.UART_STP\[1\],36.76µm
net1733,36.76µm
net11126,36.76µm
_023075_,36.74µm
_031784_,36.74µm
_041077_,36.74µm
_051605_,36.74µm
net9840,36.74µm
net12086,36.74µm
net13085,36.74µm
net66325,36.74µm
_023582_,36.68µm
_024601_,36.68µm
_038203_,36.68µm
_049394_,36.68µm
_051524_,36.68µm
conv_accelerator_inst.fc_scores\[2\]\[0\],36.68µm
net10940,36.68µm
net29874,36.68µm
_022862_,36.67µm
_012316_,36.66µm
_018543_,36.66µm
_023684_,36.66µm
_046104_,36.66µm
_048688_,36.66µm
conv_accelerator_inst.wb_prod\[312\],36.66µm
cpu_inst.CORE.core_i.ex_stage_i.mult_i.mulh_CS\[1\],36.66µm
cpu_inst.CORE.core_i.cs_registers_i.mhpmcounter_q\[31\],36.645µm
conv_accelerator_inst.fc_scores\[2\]\[17\],36.64µm
_028676_,36.62µm
_028767_,36.62µm
_042720_,36.62µm
_052120_,36.62µm
net64293,36.62µm
_030238_,36.61µm
net64799,36.61µm
_013983_,36.6µm
_017690_,36.6µm
_017760_,36.6µm
_018721_,36.6µm
_052167_,36.6µm
conv_accelerator_inst.u_weights_rom.addr\[1\],36.6µm
net9340,36.6µm
net60927,36.6µm
_028750_,36.59µm
_025579_,36.58µm
net62322,36.58µm
_018781_,36.56µm
_019310_,36.56µm
_035638_,36.56µm
yz_bram_ctrl_inst.yz_ram.u_mem.u_mem.g_2k\[0\].u_cell.rdata\[18\],36.56µm
net10627,36.56µm
net61177,36.56µm
_009737_,36.555µm
_009197_,36.54µm
_023884_,36.54µm
_025015_,36.54µm
_039547_,36.54µm
timer_inst.TIM_CNT\[21\],36.54µm
net12372,36.54µm
I2C_rdata\[17\],36.52µm
_011344_,36.52µm
_013224_,36.52µm
_019131_,36.52µm
_021948_,36.52µm
_023854_,36.52µm
_029688_,36.52µm
_035525_,36.52µm
_038302_,36.52µm
cpu_inst.CORE.core_i.id_stage_i.controller_i.ctrl_fsm_cs\[5\],36.52µm
net9991,36.52µm
net12064,36.52µm
net62418,36.52µm
_040819_,36.515µm
_053336_,36.515µm
_026052_,36.5µm
_051349_,36.5µm
cpu_inst.CORE.core_i.cs_registers_i.pc_id_i\[5\],36.5µm
net62635,36.5µm
_052903_,36.495µm
_027020_,36.48µm
_028731_,36.48µm
net26293,36.48µm
net59956,36.48µm
_027436_,36.46µm
_011093_,36.44µm
_017941_,36.44µm
_037849_,36.44µm
_042643_,36.44µm
_042836_,36.44µm
cpu_inst.CORE.core_i.if_stage_i.prefetch_buffer_i.instruction_obi_i.state_q,36.44µm
_024603_,36.435µm
_036538_,36.42µm
_041360_,36.42µm
_059608_,36.42µm
net61676,36.42µm
_012529_,36.415µm
_018168_,36.4µm
_035874_,36.4µm
_047796_,36.4µm
cpu_inst.CORE.core_i.id_stage_i.register_file_i.mem\[541\],36.4µm
net15835,36.4µm
net61165,36.4µm
net64541,36.4µm
instr_bram_ctrl_inst.instr_ram.u_mem.g_2k\[3\].u_cell.rdata\[26\],36.395µm
net25506,36.39µm
_027804_,36.38µm
_031731_,36.38µm
_047622_,36.38µm
_049710_,36.38µm
_059906_,36.38µm
conv_accelerator_inst.fc_scores\[3\]\[24\],36.38µm
_017853_,36.375µm
_011625_,36.36µm
_045315_,36.36µm
_046630_,36.36µm
conv_accelerator_inst.fc_scores\[3\]\[19\],36.36µm
instr_bram_ctrl_inst.instr_ram.u_mem.g_2k\[2\].u_cell.rdata\[30\],36.36µm
net609,36.36µm
_022698_,36.355µm
_014315_,36.345µm
_016357_,36.34µm
_024511_,36.34µm
_026131_,36.34µm
_043911_,36.34µm
_048827_,36.34µm
_010601_,36.32µm
_028283_,36.32µm
_045201_,36.32µm
_049831_,36.32µm
_053379_,36.32µm
boot_dma_data\[15\],36.32µm
net13648,36.32µm
net13934,36.32µm
net26879,36.32µm
cpu_inst.CORE.core_i.cs_registers_i.mhpmcounter_q\[165\],36.31µm
_015755_,36.3µm
_033735_,36.3µm
_035843_,36.3µm
_050849_,36.3µm
net2630,36.3µm
net5012,36.3µm
cpu_inst.CORE.core_i.cs_registers_i.depc_o\[13\],36.285µm
_042936_,36.28µm
cpu_inst.CORE.core_i.id_stage_i.register_file_i.mem\[173\],36.28µm
yz_bram_ctrl_inst.yz_ram.u_mem.u_mem.g_2k\[0\].u_cell.rdata\[6\],36.28µm
_050980_,36.27µm
_014463_,36.26µm
_023648_,36.26µm
_024626_,36.26µm
_027645_,36.26µm
_032085_,36.26µm
_034648_,36.26µm
_036741_,36.26µm
_044250_,36.26µm
_046997_,36.26µm
conv_accelerator_inst.fc_scores\[2\]\[25\],36.26µm
cpu_inst.CORE.core_i.id_stage_i.register_file_i.mem\[907\],36.26µm
net25168,36.25µm
_033470_,36.24µm
cpu_inst.CORE.core_i.cs_registers_i.mhpmcounter_q\[186\],36.24µm
net10330,36.24µm
net61814,36.24µm
_009938_,36.22µm
_041240_,36.22µm
_023961_,36.2µm
_027691_,36.2µm
_029563_,36.2µm
_031584_,36.2µm
_050402_,36.2µm
net4281,36.2µm
net27831,36.2µm
net62380,36.2µm
_040935_,36.195µm
_056085_,36.19µm
_009851_,36.18µm
_013825_,36.18µm
_020225_,36.18µm
_021591_,36.18µm
_027459_,36.18µm
_029720_,36.18µm
_048792_,36.18µm
_052974_,36.18µm
_023834_,36.17µm
_053571_,36.17µm
_010151_,36.16µm
_010711_,36.16µm
_033091_,36.16µm
uart_gu_inst.rx_tick_cnt\[22\],36.16µm
net29394,36.16µm
_000113_,36.145µm
_016891_,36.14µm
_018994_,36.14µm
_028211_,36.14µm
_029132_,36.14µm
_029596_,36.14µm
_030152_,36.14µm
_044967_,36.14µm
_056091_,36.14µm
uart_gu_inst.rx_shift_cnt\[3\],36.14µm
net8031,36.14µm
net12284,36.14µm
net65048,36.14µm
_021467_,36.12µm
_059270_,36.12µm
_010451_,36.1µm
_021713_,36.1µm
_027598_,36.1µm
_050955_,36.1µm
_052154_,36.1µm
net60091,36.1µm
_042151_,36.085µm
_016474_,36.08µm
_026596_,36.08µm
_059421_,36.08µm
net3138,36.08µm
net14564,36.08µm
net27245,36.08µm
_032614_,36.075µm
_011222_,36.06µm
_012380_,36.06µm
_024169_,36.06µm
_025719_,36.06µm
_032060_,36.06µm
_034525_,36.06µm
_035376_,36.06µm
_048884_,36.06µm
_027094_,36.04µm
_027365_,36.04µm
_036185_,36.04µm
_042624_,36.04µm
_044745_,36.04µm
_048054_,36.04µm
_053983_,36.04µm
_055892_,36.04µm
cpu_inst.CORE.core_i.cs_registers_i.mhpmcounter_q\[28\],36.04µm
net28218,36.03µm
_009811_,36.02µm
_021375_,36.02µm
_021993_,36.02µm
_044759_,36.02µm
_047630_,36.02µm
_057534_,36.02µm
net17630,36.02µm
instr_bram_ctrl_inst.instr_ram.u_mem.g_2k\[2\].u_cell.rdata\[26\],36.01µm
_021331_,36µm
_025411_,36µm
_031326_,36µm
boot_dma_data\[30\],36µm
_057202_,35.985µm
_020453_,35.98µm
_023501_,35.98µm
_030041_,35.98µm
_037123_,35.98µm
cpu_inst.CORE.core_i.alu_operand_b_ex\[14\],35.98µm
cpu_inst.CORE.core_i.ex_stage_i.alu_i.alu_div_i.State_SP\[0\],35.98µm
net28111,35.98µm
_022838_,35.965µm
_014056_,35.96µm
_017372_,35.96µm
_018485_,35.96µm
_037390_,35.96µm
_045330_,35.96µm
_012585_,35.94µm
_017523_,35.94µm
_025675_,35.94µm
_026432_,35.94µm
_032092_,35.94µm
_032505_,35.94µm
_038570_,35.94µm
_046370_,35.94µm
net29739,35.94µm
net57328,35.94µm
_018950_,35.92µm
_037721_,35.92µm
_039786_,35.92µm
_041102_,35.92µm
net64770,35.92µm
_000693_,35.905µm
_010597_,35.9µm
_049056_,35.9µm
net12093,35.9µm
_030403_,35.89µm
_029336_,35.88µm
_039232_,35.88µm
_051332_,35.88µm
yz_bram_ctrl_inst.yz_ram.u_mem.u_mem.g_2k\[2\].u_cell.rdata\[30\],35.88µm
