net,length_um
net8907,358.34µm
net38074,358.31µm
net10487,358.21µm
net4386,358.205µm
net3742,358.095µm
net12853,357.97µm
clknet_6_60__leaf_clk_i_regs,357.72µm
net49124,357.5µm
net10582,357.42µm
net34136,357.33µm
net32901,357.31µm
clknet_5_17_0_clk_i_regs,357.11µm
net6729,357.08µm
net34238,356.86µm
net44540,356.72µm
_019139_,356.14µm
net30577,355.78µm
net40218,355.66µm
net38082,355.655µm
net44985,355.61µm
net10373,355.53µm
net44917,355.46µm
net6251,355.335µm
net7808,355.03µm
net39957,354.975µm
net42608,354.97µm
_012252_,354.84µm
_019664_,354.84µm
net38180,354.72µm
_019942_,354.67µm
net48312,354.64µm
net42735,354.3µm
conv_accelerator_inst.acc\[221\],353.92µm
net34210,353.89µm
net16151,353.88µm
net30557,353.84µm
net7723,353.66µm
net8743,353.36µm
net43869,353.26µm
net37071,353.24µm
_021434_,353.22µm
net42148,353.13µm
net31382,353.1µm
clknet_5_27_0_clk_i_regs,353.02µm
_012335_,352.915µm
net8841,352.915µm
_056473_,352.89µm
net46821,352.86µm
net42429,352.85µm
net6679,352.72µm
net4656,352.42µm
net6599,352.2µm
net43803,352.06µm
net11551,351.87µm
net7266,351.43µm
net9486,351.415µm
net45563,351.34µm
net10255,351.31µm
net48190,351.2µm
net10548,351.17µm
net11628,351.14µm
net39663,350.95µm
_021374_,350.895µm
clknet_6_33__leaf_clk_i_regs,350.5µm
net38237,350.44µm
net35826,350.385µm
clk_i,350.38µm
net28105,350.35µm
net42909,350.34µm
net13033,350.19µm
net47790,349.82µm
net8888,349.65µm
_019195_,349.625µm
net48654,349.52µm
_012352_,349.49µm
net9231,349.46µm
net10823,349.46µm
net2155,349.455µm
net349,349.37µm
net10750,349.185µm
net11577,348.8µm
net10313,348.46µm
net10189,348.16µm
net10739,348µm
net8181,347.85µm
net37058,347.72µm
_054127_,347.71µm
net45096,347.57µm
net37624,347.44µm
_017415_,347.26µm
net10119,347.21µm
_020717_,347.2µm
net4754,346.92µm
net25774,346.78µm
_021633_,346.52µm
net41147,346.4µm
net7754,346.28µm
net7695,346.2µm
net44314,346.14µm
net31416,345.49µm
net8833,345.38µm
net10409,345.34µm
clknet_5_9_0_clk_i_regs,345.33µm
clknet_6_46__leaf_clk_i_regs,345.28µm
net41578,345.2µm
_024955_,345.18µm
clknet_6_19__leaf_clk_i_regs,344.74µm
net11364,344.51µm
net40406,344.34µm
net37153,344.2µm
net32304,344.15µm
net31969,344.05µm
net38890,344.01µm
net32606,343.865µm
net6412,343.69µm
net35337,343.31µm
net31974,343.3µm
net8944,343.22µm
net44442,343.18µm
net43915,342.9µm
_009218_,342.61µm
net34199,342.51µm
net46285,342.405µm
net36846,342.38µm
net10031,342.365µm
net36608,342.35µm
net34048,342.19µm
net44378,342.18µm
_023521_,342.17µm
net4744,342.01µm
net7649,341.74µm
net11801,341.63µm
_021873_,341.54µm
net11204,341.54µm
net6286,341.52µm
_020129_,341.5µm
net36049,341.5µm
net11476,341.17µm
net4477,341.09µm
net37683,340.85µm
net6134,340.645µm
_009480_,340.64µm
net48229,340.6µm
net46424,340.48µm
net40873,340.41µm
