blok,test,tohum,sonuc,gecti,beklenen_basarisiz,ihlal,uyari,hata,yazma,okuma,kontrol,uyusmazlik,sure
uart_gu,uart_gu_baud_test,1,GECTI,True,False,0,0,0,37,18,9,0,0.9
uart_gu,uart_gu_baud_test,2,GECTI,True,False,0,0,0,37,18,9,0,0.9
uart_gu,uart_gu_baud_test,3,GECTI,True,False,0,0,0,37,18,9,0,0.9
uart_gu,uart_gu_bitwalk_test,1,GECTI,True,False,0,0,0,102,99,99,0,0.8
uart_gu,uart_gu_bitwalk_test,2,GECTI,True,False,0,0,0,102,99,99,0,0.9
uart_gu,uart_gu_bitwalk_test,3,GECTI,True,False,0,0,0,102,99,99,0,0.8
uart_gu,uart_gu_cpb_zero_test,1,GECTI,True,False,0,0,0,7,24,0,0,0.8
uart_gu,uart_gu_cpb_zero_test,2,GECTI,True,False,0,0,0,7,24,0,0,0.8
uart_gu,uart_gu_cpb_zero_test,3,GECTI,True,False,0,0,0,7,24,0,0,0.8
uart_gu,uart_gu_duplex_test,1,GECTI,True,False,0,0,0,3,2,0,0,0.9
uart_gu,uart_gu_duplex_test,2,GECTI,True,False,0,0,0,3,2,0,0,0.9
uart_gu,uart_gu_duplex_test,3,GECTI,True,False,0,0,0,3,2,0,0,0.8
uart_gu,uart_gu_random_test,1,GECTI,True,False,0,0,0,24,73,45,0,2.8
uart_gu,uart_gu_random_test,2,GECTI,True,False,0,0,0,18,74,45,0,2.6
uart_gu,uart_gu_random_test,3,GECTI,True,False,0,0,0,32,89,51,0,3.2
uart_gu,uart_gu_reset_mid_test,1,GECTI,True,False,0,0,0,9,22,11,0,1.3
uart_gu,uart_gu_reset_mid_test,2,GECTI,True,False,0,0,0,10,21,15,0,1.3
uart_gu,uart_gu_reset_mid_test,3,GECTI,True,False,0,0,0,11,20,12,0,1.3
uart_gu,uart_gu_reset_test,1,GECTI,True,False,0,0,0,0,6,4,0,0.7
uart_gu,uart_gu_reset_test,2,GECTI,True,False,0,0,0,0,6,4,0,0.8
uart_gu,uart_gu_reset_test,3,GECTI,True,False,0,0,0,0,6,4,0,0.7
uart_gu,uart_gu_ro_test,1,GECTI,True,False,0,0,0,2,5,0,0,0.7
uart_gu,uart_gu_ro_test,2,GECTI,True,False,0,0,0,2,5,0,0,0.7
uart_gu,uart_gu_ro_test,3,GECTI,True,False,0,0,0,2,5,0,0,0.8
uart_gu,uart_gu_rx_test,1,GECTI,True,False,0,0,0,6,10,0,0,0.8
uart_gu,uart_gu_rx_test,2,GECTI,True,False,0,0,0,6,10,0,0,0.8
uart_gu,uart_gu_rx_test,3,GECTI,True,False,0,0,0,6,10,0,0,0.8
uart_gu,uart_gu_stress_test,1,GECTI,True,False,0,0,0,6,6,6,0,0.7
uart_gu,uart_gu_stress_test,2,GECTI,True,False,0,0,0,6,6,6,0,0.8
uart_gu,uart_gu_stress_test,3,GECTI,True,False,0,0,0,6,6,6,0,0.7
uart_gu,uart_gu_tx_test,1,GECTI,True,False,0,0,0,19,6,0,0,0.9
uart_gu,uart_gu_tx_test,2,GECTI,True,False,0,0,0,19,6,0,0,0.7
uart_gu,uart_gu_tx_test,3,GECTI,True,False,0,0,0,19,6,0,0,1.0
uart_gu,uart_gu_unmapped_test,1,GECTI,True,False,0,0,0,1,2,1,0,0.7
uart_gu,uart_gu_unmapped_test,2,GECTI,True,False,0,0,0,1,2,1,0,0.8
uart_gu,uart_gu_unmapped_test,3,GECTI,True,False,0,0,0,1,2,1,0,0.7
uart_yz,uart_yz_baud_test,1,GECTI,True,False,0,0,0,37,18,9,0,0.9
uart_yz,uart_yz_baud_test,2,GECTI,True,False,0,0,0,37,18,9,0,1.0
uart_yz,uart_yz_baud_test,3,GECTI,True,False,0,0,0,37,18,9,0,0.9
uart_yz,uart_yz_bitwalk_test,1,GECTI,True,False,0,0,0,102,99,99,0,0.8
